sector,year,gas_type,value_mt_co2eq
Agricultural soils,1990,GHG,4.393462
Agricultural soils,1991,GHG,4.352458
Agricultural soils,1992,GHG,4.269886
Agricultural soils,1993,GHG,4.412196
Agricultural soils,1994,GHG,4.597007
Agricultural soils,1995,GHG,4.807987
Agricultural soils,1996,GHG,4.810927
Agricultural soils,1997,GHG,4.628965
Agricultural soils,1998,GHG,4.95379
Agricultural soils,1999,GHG,4.962799
Agricultural soils,2000,GHG,4.71592
Agricultural soils,2001,GHG,4.474001
Agricultural soils,2002,GHG,4.421284
Agricultural soils,2003,GHG,4.600482
Agricultural soils,2004,GHG,4.488022
Agricultural soils,2005,GHG,4.356051
Agricultural soils,2006,GHG,4.246798
Agricultural soils,2007,GHG,4.117407
Agricultural soils,2008,GHG,3.981825
Agricultural soils,2009,GHG,3.868069
Agricultural soils,2010,GHG,4.154158
Agricultural soils,2011,GHG,3.79191
Agricultural soils,2012,GHG,3.901114
Agricultural soils,2013,GHG,4.257856
Agricultural soils,2014,GHG,4.127278
Agricultural soils,2015,GHG,4.154113
Agricultural soils,2016,GHG,4.221497
Agricultural soils,2017,GHG,4.469634
Agricultural soils,2018,GHG,4.69104
Agricultural soils,2019,GHG,4.459238
Agricultural soils,2020,GHG,4.513454
Agricultural soils,2021,GHG,4.683469
Agricultural soils,2022,GHG,4.238409
Agricultural soils,2023,GHG,3.818878
Agricultural soils,2024,GHG,3.88882
Agriculture,1990,GHG,20.570757
Agriculture,1991,GHG,20.707332
Agriculture,1992,GHG,20.839314
Agriculture,1993,GHG,21.084539
Agriculture,1994,GHG,21.226008
Agriculture,1995,GHG,21.868063
Agriculture,1996,GHG,22.075633
Agriculture,1997,GHG,22.183654
Agriculture,1998,GHG,22.612916
Agriculture,1999,GHG,22.267173
Agriculture,2000,GHG,21.335407
Agriculture,2001,GHG,21.033612
Agriculture,2002,GHG,20.707054
Agriculture,2003,GHG,20.996723
Agriculture,2004,GHG,20.652018
Agriculture,2005,GHG,20.183651
Agriculture,2006,GHG,19.765946
Agriculture,2007,GHG,19.628113
Agriculture,2008,GHG,19.260003
Agriculture,2009,GHG,18.844171
Agriculture,2010,GHG,18.988061
Agriculture,2011,GHG,18.557044
Agriculture,2012,GHG,18.858687
Agriculture,2013,GHG,19.449196
Agriculture,2014,GHG,19.526229
Agriculture,2015,GHG,19.91935
Agriculture,2016,GHG,20.506828
Agriculture,2017,GHG,21.128154
Agriculture,2018,GHG,21.400434
Agriculture,2019,GHG,21.282559
Agriculture,2020,GHG,21.558725
Agriculture,2021,GHG,21.950409
Agriculture,2022,GHG,21.79177
Agriculture,2023,GHG,20.754057
Agriculture,2024,GHG,20.40774
Agriculture/Forestry fuel combustion,1990,GHG,0.723078
Agriculture/Forestry fuel combustion,1991,GHG,0.750889
Agriculture/Forestry fuel combustion,1992,GHG,0.761318
Agriculture/Forestry fuel combustion,1993,GHG,0.764794
Agriculture/Forestry fuel combustion,1994,GHG,0.869084
Agriculture/Forestry fuel combustion,1995,GHG,0.997708
Agriculture/Forestry fuel combustion,1996,GHG,0.803034
Agriculture/Forestry fuel combustion,1997,GHG,0.830844
Agriculture/Forestry fuel combustion,1998,GHG,0.823892
Agriculture/Forestry fuel combustion,1999,GHG,0.869084
Agriculture/Forestry fuel combustion,2000,GHG,0.900371
Agriculture/Forestry fuel combustion,2001,GHG,0.9108
Agriculture/Forestry fuel combustion,2002,GHG,0.914276
Agriculture/Forestry fuel combustion,2003,GHG,0.917753
Agriculture/Forestry fuel combustion,2004,GHG,0.879513
Agriculture/Forestry fuel combustion,2005,GHG,0.943784
Agriculture/Forestry fuel combustion,2006,GHG,0.904758
Agriculture/Forestry fuel combustion,2007,GHG,0.85906
Agriculture/Forestry fuel combustion,2008,GHG,0.929497
Agriculture/Forestry fuel combustion,2009,GHG,0.788409
Agriculture/Forestry fuel combustion,2010,GHG,0.745717
Agriculture/Forestry fuel combustion,2011,GHG,0.714475
Agriculture/Forestry fuel combustion,2012,GHG,0.680815
Agriculture/Forestry fuel combustion,2013,GHG,0.590395
Agriculture/Forestry fuel combustion,2014,GHG,0.529002
Agriculture/Forestry fuel combustion,2015,GHG,0.509626
Agriculture/Forestry fuel combustion,2016,GHG,0.535122
Agriculture/Forestry fuel combustion,2017,GHG,0.554559
Agriculture/Forestry fuel combustion,2018,GHG,0.589692
Agriculture/Forestry fuel combustion,2019,GHG,0.610085
Agriculture/Forestry fuel combustion,2020,GHG,0.622353
Agriculture/Forestry fuel combustion,2021,GHG,0.619277
Agriculture/Forestry fuel combustion,2022,GHG,0.852941
Agriculture/Forestry fuel combustion,2023,GHG,0.76418
Agriculture/Forestry fuel combustion,2024,GHG,0.77386
Biological treatment of solid waste,1990,GHG,0.0
Biological treatment of solid waste,1991,GHG,0.0
Biological treatment of solid waste,1992,GHG,0.0
Biological treatment of solid waste,1993,GHG,0.0
Biological treatment of solid waste,1994,GHG,0.0
Biological treatment of solid waste,1995,GHG,0.0
Biological treatment of solid waste,1996,GHG,0.0
Biological treatment of solid waste,1997,GHG,0.0
Biological treatment of solid waste,1998,GHG,0.0
Biological treatment of solid waste,1999,GHG,0.0
Biological treatment of solid waste,2000,GHG,0.0
Biological treatment of solid waste,2001,GHG,0.003904
Biological treatment of solid waste,2002,GHG,0.005973
Biological treatment of solid waste,2003,GHG,0.008307
Biological treatment of solid waste,2004,GHG,0.03496
Biological treatment of solid waste,2005,GHG,0.047649
Biological treatment of solid waste,2006,GHG,0.038192
Biological treatment of solid waste,2007,GHG,0.037751
Biological treatment of solid waste,2008,GHG,0.049801
Biological treatment of solid waste,2009,GHG,0.049124
Biological treatment of solid waste,2010,GHG,0.050026
Biological treatment of solid waste,2011,GHG,0.04985
Biological treatment of solid waste,2012,GHG,0.045309
Biological treatment of solid waste,2013,GHG,0.045739
Biological treatment of solid waste,2014,GHG,0.042488
Biological treatment of solid waste,2015,GHG,0.041597
Biological treatment of solid waste,2016,GHG,0.04099
Biological treatment of solid waste,2017,GHG,0.046864
Biological treatment of solid waste,2018,GHG,0.045793
Biological treatment of solid waste,2019,GHG,0.049313
Biological treatment of solid waste,2020,GHG,0.048144
Biological treatment of solid waste,2021,GHG,0.043259
Biological treatment of solid waste,2022,GHG,0.038969
Biological treatment of solid waste,2023,GHG,0.050162
Biological treatment of solid waste,2024,GHG,0.050587
Chemical industry,1990,GHG,1.875333
Chemical industry,1991,GHG,1.724829
Chemical industry,1992,GHG,1.698073
Chemical industry,1993,GHG,1.640699
Chemical industry,1994,GHG,1.751138
Chemical industry,1995,GHG,1.667949
Chemical industry,1996,GHG,1.617362
Chemical industry,1997,GHG,1.767637
Chemical industry,1998,GHG,1.753318
Chemical industry,1999,GHG,1.63733
Chemical industry,2000,GHG,1.576806
Chemical industry,2001,GHG,1.540717
Chemical industry,2002,GHG,1.06066
Chemical industry,2003,GHG,0.000297
Chemical industry,2004,GHG,0.0
Chemical industry,2005,GHG,0.0
Chemical industry,2006,GHG,0.0
Chemical industry,2007,GHG,0.0
Chemical industry,2008,GHG,0.0
Chemical industry,2009,GHG,0.0
Chemical industry,2010,GHG,0.0
Chemical industry,2011,GHG,0.0
Chemical industry,2012,GHG,0.0
Chemical industry,2013,GHG,0.0
Chemical industry,2014,GHG,0.0
Chemical industry,2015,GHG,0.0
Chemical industry,2016,GHG,0.0
Chemical industry,2017,GHG,0.0
Chemical industry,2018,GHG,0.0
Chemical industry,2019,GHG,0.0
Chemical industry,2020,GHG,0.0
Chemical industry,2021,GHG,0.0
Chemical industry,2022,GHG,0.0
Chemical industry,2023,GHG,0.0
Chemical industry,2024,GHG,0.0
Commercial Services,1990,GHG,1.009936
Commercial Services,1991,GHG,1.027961
Commercial Services,1992,GHG,1.021811
Commercial Services,1993,GHG,1.009066
Commercial Services,1994,GHG,1.099943
Commercial Services,1995,GHG,1.078195
Commercial Services,1996,GHG,0.973542
Commercial Services,1997,GHG,0.981175
Commercial Services,1998,GHG,0.967559
Commercial Services,1999,GHG,1.000405
Commercial Services,2000,GHG,1.025752
Commercial Services,2001,GHG,1.01549
Commercial Services,2002,GHG,0.98122
Commercial Services,2003,GHG,1.078914
Commercial Services,2004,GHG,1.046571
Commercial Services,2005,GHG,1.078745
Commercial Services,2006,GHG,1.072827
Commercial Services,2007,GHG,1.070646
Commercial Services,2008,GHG,1.116948
Commercial Services,2009,GHG,0.884233
Commercial Services,2010,GHG,0.983093
Commercial Services,2011,GHG,0.90731
Commercial Services,2012,GHG,0.95646
Commercial Services,2013,GHG,0.954773
Commercial Services,2014,GHG,0.854716
Commercial Services,2015,GHG,0.964123
Commercial Services,2016,GHG,0.860745
Commercial Services,2017,GHG,0.797135
Commercial Services,2018,GHG,0.868396
Commercial Services,2019,GHG,0.838244
Commercial Services,2020,GHG,0.673151
Commercial Services,2021,GHG,0.761166
Commercial Services,2022,GHG,0.733975
Commercial Services,2023,GHG,0.712639
Commercial Services,2024,GHG,0.77079
Cropland,1990,GHG,-0.048087
Cropland,1991,GHG,-0.048627
Cropland,1992,GHG,-0.049523
Cropland,1993,GHG,-0.045843
Cropland,1994,GHG,-0.048733
Cropland,1995,GHG,-0.044659
Cropland,1996,GHG,-0.048938
Cropland,1997,GHG,-0.046037
Cropland,1998,GHG,-0.044208
Cropland,1999,GHG,-0.039204
Cropland,2000,GHG,0.001351
Cropland,2001,GHG,0.166742
Cropland,2002,GHG,0.186073
Cropland,2003,GHG,0.107127
Cropland,2004,GHG,0.100557
Cropland,2005,GHG,0.042768
Cropland,2006,GHG,-0.027401
Cropland,2007,GHG,-0.009607
Cropland,2008,GHG,0.082523
Cropland,2009,GHG,-0.013067
Cropland,2010,GHG,-0.113161
Cropland,2011,GHG,-0.069106
Cropland,2012,GHG,0.013317
Cropland,2013,GHG,-0.004849
Cropland,2014,GHG,-0.051204
Cropland,2015,GHG,-0.07134
Cropland,2016,GHG,-0.09259
Cropland,2017,GHG,-0.092019
Cropland,2018,GHG,-0.154803
Cropland,2019,GHG,-0.142373
Cropland,2020,GHG,-0.125212
Cropland,2021,GHG,-0.101287
Cropland,2022,GHG,-0.083397
Cropland,2023,GHG,0.081727
Cropland,2024,GHG,0.081727
Domestic aviation,1990,GHG,0.048361
Domestic aviation,1991,GHG,0.043855
Domestic aviation,1992,GHG,0.04347
Domestic aviation,1993,GHG,0.037392
Domestic aviation,1994,GHG,0.038862
Domestic aviation,1995,GHG,0.045697
Domestic aviation,1996,GHG,0.048897
Domestic aviation,1997,GHG,0.051369
Domestic aviation,1998,GHG,0.056789
Domestic aviation,1999,GHG,0.064313
Domestic aviation,2000,GHG,0.069587
Domestic aviation,2001,GHG,0.069136
Domestic aviation,2002,GHG,0.06852
Domestic aviation,2003,GHG,0.071117
Domestic aviation,2004,GHG,0.067874
Domestic aviation,2005,GHG,0.080142
Domestic aviation,2006,GHG,0.091964
Domestic aviation,2007,GHG,0.084952
Domestic aviation,2008,GHG,0.080462
Domestic aviation,2009,GHG,0.065565
Domestic aviation,2010,GHG,0.049471
Domestic aviation,2011,GHG,0.024632
Domestic aviation,2012,GHG,0.014978
Domestic aviation,2013,GHG,0.015358
Domestic aviation,2014,GHG,0.014679
Domestic aviation,2015,GHG,0.015627
Domestic aviation,2016,GHG,0.016832
Domestic aviation,2017,GHG,0.017541
Domestic aviation,2018,GHG,0.016678
Domestic aviation,2019,GHG,0.017904
Domestic aviation,2020,GHG,0.013595
Domestic aviation,2021,GHG,0.019692
Domestic aviation,2022,GHG,0.021674
Domestic aviation,2023,GHG,0.023217
Domestic aviation,2024,GHG,0.031199
Domestic navigation,1990,GHG,0.085719
Domestic navigation,1991,GHG,0.082555
Domestic navigation,1992,GHG,0.092089
Domestic navigation,1993,GHG,0.092089
Domestic navigation,1994,GHG,0.104744
Domestic navigation,1995,GHG,0.092046
Domestic navigation,1996,GHG,0.104912
Domestic navigation,1997,GHG,0.108076
Domestic navigation,1998,GHG,0.117694
Domestic navigation,1999,GHG,0.130476
Domestic navigation,2000,GHG,0.152562
Domestic navigation,2001,GHG,0.152501
Domestic navigation,2002,GHG,0.161932
Domestic navigation,2003,GHG,0.174527
Domestic navigation,2004,GHG,0.226978
Domestic navigation,2005,GHG,0.211064
Domestic navigation,2006,GHG,0.249977
Domestic navigation,2007,GHG,0.197409
Domestic navigation,2008,GHG,0.20461
Domestic navigation,2009,GHG,0.1994
Domestic navigation,2010,GHG,0.199996
Domestic navigation,2011,GHG,0.173624
Domestic navigation,2012,GHG,0.183486
Domestic navigation,2013,GHG,0.179476
Domestic navigation,2014,GHG,0.224676
Domestic navigation,2015,GHG,0.2216
Domestic navigation,2016,GHG,0.266297
Domestic navigation,2017,GHG,0.23514
Domestic navigation,2018,GHG,0.260076
Domestic navigation,2019,GHG,0.276991
Domestic navigation,2020,GHG,0.338742
Domestic navigation,2021,GHG,0.362233
Domestic navigation,2022,GHG,0.305592
Domestic navigation,2023,GHG,0.286649
Domestic navigation,2024,GHG,0.286649
Energy Industries,1990,GHG,11.334544
Energy Industries,1991,GHG,11.784947
Energy Industries,1992,GHG,12.440837
Energy Industries,1993,GHG,12.461363
Energy Industries,1994,GHG,12.797186
Energy Industries,1995,GHG,13.48232
Energy Industries,1996,GHG,14.202419
Energy Industries,1997,GHG,14.857438
Energy Industries,1998,GHG,15.223247
Energy Industries,1999,GHG,15.921132
Energy Industries,2000,GHG,16.202239
Energy Industries,2001,GHG,17.490461
Energy Industries,2002,GHG,16.493709
Energy Industries,2003,GHG,16.54599
Energy Industries,2004,GHG,15.418521
Energy Industries,2005,GHG,15.900565
Energy Industries,2006,GHG,15.16095
Energy Industries,2007,GHG,14.675966
Energy Industries,2008,GHG,14.790697
Energy Industries,2009,GHG,13.197012
Energy Industries,2010,GHG,13.461165
Energy Industries,2011,GHG,12.057104
Energy Industries,2012,GHG,12.89796
Energy Industries,2013,GHG,11.534496
Energy Industries,2014,GHG,11.342542
Energy Industries,2015,GHG,11.952834
Energy Industries,2016,GHG,12.675495
Energy Industries,2017,GHG,11.872822
Energy Industries,2018,GHG,10.559147
Energy Industries,2019,GHG,9.309534
Energy Industries,2020,GHG,8.665265
Energy Industries,2021,GHG,10.187107
Energy Industries,2022,GHG,10.002818
Energy Industries,2023,GHG,7.859874
Energy Industries,2024,GHG,7.157444
Enteric fermentation,1990,GHG,12.480172
Enteric fermentation,1991,GHG,12.637185
Enteric fermentation,1992,GHG,12.829661
Enteric fermentation,1993,GHG,12.832961
Enteric fermentation,1994,GHG,12.783895
Enteric fermentation,1995,GHG,12.826697
Enteric fermentation,1996,GHG,13.171053
Enteric fermentation,1997,GHG,13.456313
Enteric fermentation,1998,GHG,13.635427
Enteric fermentation,1999,GHG,13.255947
Enteric fermentation,2000,GHG,12.685166
Enteric fermentation,2001,GHG,12.595142
Enteric fermentation,2002,GHG,12.456879
Enteric fermentation,2003,GHG,12.439716
Enteric fermentation,2004,GHG,12.39802
Enteric fermentation,2005,GHG,12.016187
Enteric fermentation,2006,GHG,11.834227
Enteric fermentation,2007,GHG,11.76113
Enteric fermentation,2008,GHG,11.612331
Enteric fermentation,2009,GHG,11.403603
Enteric fermentation,2010,GHG,11.205418
Enteric fermentation,2011,GHG,11.247423
Enteric fermentation,2012,GHG,11.56556
Enteric fermentation,2013,GHG,11.596485
Enteric fermentation,2014,GHG,11.901192
Enteric fermentation,2015,GHG,12.226017
Enteric fermentation,2016,GHG,12.628465
Enteric fermentation,2017,GHG,12.977795
Enteric fermentation,2018,GHG,12.916599
Enteric fermentation,2019,GHG,13.091204
Enteric fermentation,2020,GHG,13.26019
Enteric fermentation,2021,GHG,13.335345
Enteric fermentation,2022,GHG,13.368285
Enteric fermentation,2023,GHG,13.059737
Enteric fermentation,2024,GHG,12.652319
F-Gases,1990,GHG,0.035524
F-Gases,1991,GHG,0.049662
F-Gases,1992,GHG,0.0638
F-Gases,1993,GHG,0.096561
F-Gases,1994,GHG,0.135261
F-Gases,1995,GHG,0.205451
F-Gases,1996,GHG,0.299643
F-Gases,1997,GHG,0.405874
F-Gases,1998,GHG,0.310852
F-Gases,1999,GHG,0.488161
F-Gases,2000,GHG,0.706989
F-Gases,2001,GHG,0.724391
F-Gases,2002,GHG,0.724394
F-Gases,2003,GHG,0.919572
F-Gases,2004,GHG,0.938424
F-Gases,2005,GHG,1.116722
F-Gases,2006,GHG,1.100805
F-Gases,2007,GHG,1.097601
F-Gases,2008,GHG,1.131907
F-Gases,2009,GHG,1.094105
F-Gases,2010,GHG,1.056858
F-Gases,2011,GHG,1.057523
F-Gases,2012,GHG,1.027001
F-Gases,2013,GHG,1.053088
F-Gases,2014,GHG,1.110551
F-Gases,2015,GHG,1.095557
F-Gases,2016,GHG,1.165609
F-Gases,2017,GHG,1.09429
F-Gases,2018,GHG,0.78835
F-Gases,2019,GHG,0.769025
F-Gases,2020,GHG,0.60176
F-Gases,2021,GHG,0.64591
F-Gases,2022,GHG,0.611407
F-Gases,2023,GHG,0.565701
F-Gases,2024,GHG,0.581133
Fishing,1990,GHG,0.087793
Fishing,1991,GHG,0.094874
Fishing,1992,GHG,0.101042
Fishing,1993,GHG,0.113079
Fishing,1994,GHG,0.11785
Fishing,1995,GHG,0.158458
Fishing,1996,GHG,0.135212
Fishing,1997,GHG,0.119216
Fishing,1998,GHG,0.131749
Fishing,1999,GHG,0.116248
Fishing,2000,GHG,0.113172
Fishing,2001,GHG,0.115098
Fishing,2002,GHG,0.098815
Fishing,2003,GHG,0.142119
Fishing,2004,GHG,0.161606
Fishing,2005,GHG,0.144856
Fishing,2006,GHG,0.129392
Fishing,2007,GHG,0.120667
Fishing,2008,GHG,0.103589
Fishing,2009,GHG,0.096859
Fishing,2010,GHG,0.076134
Fishing,2011,GHG,0.063062
Fishing,2012,GHG,0.069811
Fishing,2013,GHG,0.07768
Fishing,2014,GHG,0.074014
Fishing,2015,GHG,0.065071
Fishing,2016,GHG,0.059752
Fishing,2017,GHG,0.070756
Fishing,2018,GHG,0.084456
Fishing,2019,GHG,0.072921
Fishing,2020,GHG,0.05944
Fishing,2021,GHG,0.058155
Fishing,2022,GHG,0.053578
Fishing,2023,GHG,0.060898
Fishing,2024,GHG,0.060898
Forest land,1990,GHG,-2.723212
Forest land,1991,GHG,-2.824299
Forest land,1992,GHG,-2.237036
Forest land,1993,GHG,-2.310862
Forest land,1994,GHG,-1.909891
Forest land,1995,GHG,-1.554158
Forest land,1996,GHG,-1.357873
Forest land,1997,GHG,-2.048977
Forest land,1998,GHG,-1.634597
Forest land,1999,GHG,-1.490056
Forest land,2000,GHG,-0.42849
Forest land,2001,GHG,-0.760804
Forest land,2002,GHG,-0.689833
Forest land,2003,GHG,-0.772759
Forest land,2004,GHG,-1.463516
Forest land,2005,GHG,-1.238015
Forest land,2006,GHG,-2.014377
Forest land,2007,GHG,-1.983798
Forest land,2008,GHG,-2.934518
Forest land,2009,GHG,-3.050567
Forest land,2010,GHG,-2.790486
Forest land,2011,GHG,-2.972894
Forest land,2012,GHG,-3.51009
Forest land,2013,GHG,-3.757177
Forest land,2014,GHG,-3.449803
Forest land,2015,GHG,-4.080837
Forest land,2016,GHG,-4.151002
Forest land,2017,GHG,-2.556373
Forest land,2018,GHG,-2.462595
Forest land,2019,GHG,-2.008879
Forest land,2020,GHG,-1.768874
Forest land,2021,GHG,-1.134543
Forest land,2022,GHG,-1.574971
Forest land,2023,GHG,-1.598438
Forest land,2024,GHG,-1.598438
Fugitive emissions,1990,GHG,0.11854
Fugitive emissions,1991,GHG,0.108037
Fugitive emissions,1992,GHG,0.102737
Fugitive emissions,1993,GHG,0.10696
Fugitive emissions,1994,GHG,0.105468
Fugitive emissions,1995,GHG,0.105988
Fugitive emissions,1996,GHG,0.106343
Fugitive emissions,1997,GHG,0.103914
Fugitive emissions,1998,GHG,0.088932
Fugitive emissions,1999,GHG,0.128411
Fugitive emissions,2000,GHG,0.093148
Fugitive emissions,2001,GHG,0.164135
Fugitive emissions,2002,GHG,0.083023
Fugitive emissions,2003,GHG,0.830642
Fugitive emissions,2004,GHG,0.092464
Fugitive emissions,2005,GHG,0.082524
Fugitive emissions,2006,GHG,0.095763
Fugitive emissions,2007,GHG,0.105276
Fugitive emissions,2008,GHG,0.099318
Fugitive emissions,2009,GHG,0.093982
Fugitive emissions,2010,GHG,0.09739
Fugitive emissions,2011,GHG,0.089143
Fugitive emissions,2012,GHG,0.087416
Fugitive emissions,2013,GHG,0.08531
Fugitive emissions,2014,GHG,0.0982
Fugitive emissions,2015,GHG,0.099296
Fugitive emissions,2016,GHG,0.100452
Fugitive emissions,2017,GHG,0.105789
Fugitive emissions,2018,GHG,0.106706
Fugitive emissions,2019,GHG,0.101704
Fugitive emissions,2020,GHG,0.102491
Fugitive emissions,2021,GHG,0.091072
Fugitive emissions,2022,GHG,0.089728
Fugitive emissions,2023,GHG,0.089267
Fugitive emissions,2024,GHG,0.097069
Grassland,1990,GHG,3.927882
Grassland,1991,GHG,4.146826
Grassland,1992,GHG,3.626613
Grassland,1993,GHG,3.457039
Grassland,1994,GHG,3.401597
Grassland,1995,GHG,3.681799
Grassland,1996,GHG,3.45742
Grassland,1997,GHG,3.706775
Grassland,1998,GHG,3.627347
Grassland,1999,GHG,3.505106
Grassland,2000,GHG,3.217425
Grassland,2001,GHG,3.206045
Grassland,2002,GHG,3.576873
Grassland,2003,GHG,3.436974
Grassland,2004,GHG,3.242336
Grassland,2005,GHG,3.115572
Grassland,2006,GHG,2.981402
Grassland,2007,GHG,3.042893
Grassland,2008,GHG,3.134814
Grassland,2009,GHG,3.369008
Grassland,2010,GHG,2.762966
Grassland,2011,GHG,2.72805
Grassland,2012,GHG,2.754971
Grassland,2013,GHG,3.212373
Grassland,2014,GHG,2.695962
Grassland,2015,GHG,2.679643
Grassland,2016,GHG,2.670062
Grassland,2017,GHG,2.590107
Grassland,2018,GHG,2.396794
Grassland,2019,GHG,2.428838
Grassland,2020,GHG,2.565271
Grassland,2021,GHG,2.388231
Grassland,2022,GHG,2.396127
Grassland,2023,GHG,2.406715
Grassland,2024,GHG,2.406715
Harvested wood products,1990,GHG,-0.41304
Harvested wood products,1991,GHG,-0.40963
Harvested wood products,1992,GHG,-0.56058
Harvested wood products,1993,GHG,-0.5864
Harvested wood products,1994,GHG,-0.64576
Harvested wood products,1995,GHG,-0.6797
Harvested wood products,1996,GHG,-0.78972
Harvested wood products,1997,GHG,-0.79387
Harvested wood products,1998,GHG,-0.90323
Harvested wood products,1999,GHG,-0.88709
Harvested wood products,2000,GHG,-1.12325
Harvested wood products,2001,GHG,-1.11596
Harvested wood products,2002,GHG,-0.95341
Harvested wood products,2003,GHG,-1.18186
Harvested wood products,2004,GHG,-1.09041
Harvested wood products,2005,GHG,-1.12967
Harvested wood products,2006,GHG,-1.27392
Harvested wood products,2007,GHG,-1.19828
Harvested wood products,2008,GHG,-0.68816
Harvested wood products,2009,GHG,-0.70849
Harvested wood products,2010,GHG,-0.81873
Harvested wood products,2011,GHG,-0.74172
Harvested wood products,2012,GHG,-0.66859
Harvested wood products,2013,GHG,-0.66233
Harvested wood products,2014,GHG,-0.76317
Harvested wood products,2015,GHG,-0.72872
Harvested wood products,2016,GHG,-0.8037
Harvested wood products,2017,GHG,-0.86883
Harvested wood products,2018,GHG,-0.82565
Harvested wood products,2019,GHG,-0.86632
Harvested wood products,2020,GHG,-0.80902
Harvested wood products,2021,GHG,-0.96268
Harvested wood products,2022,GHG,-0.883266
Harvested wood products,2023,GHG,-0.887147
Harvested wood products,2024,GHG,-0.887147
Incineration and open burning of waste,1990,GHG,0.097741
Incineration and open burning of waste,1991,GHG,0.097889
Incineration and open burning of waste,1992,GHG,0.098674
Incineration and open burning of waste,1993,GHG,0.099486
Incineration and open burning of waste,1994,GHG,0.100146
Incineration and open burning of waste,1995,GHG,0.100615
Incineration and open burning of waste,1996,GHG,0.100632
Incineration and open burning of waste,1997,GHG,0.084748
Incineration and open burning of waste,1998,GHG,0.066716
Incineration and open burning of waste,1999,GHG,0.074599
Incineration and open burning of waste,2000,GHG,0.079603
Incineration and open burning of waste,2001,GHG,0.088811
Incineration and open burning of waste,2002,GHG,0.115034
Incineration and open burning of waste,2003,GHG,0.162098
Incineration and open burning of waste,2004,GHG,0.149468
Incineration and open burning of waste,2005,GHG,0.132572
Incineration and open burning of waste,2006,GHG,0.13019
Incineration and open burning of waste,2007,GHG,0.083934
Incineration and open burning of waste,2008,GHG,0.069024
Incineration and open burning of waste,2009,GHG,0.070514
Incineration and open burning of waste,2010,GHG,0.062073
Incineration and open burning of waste,2011,GHG,0.045014
Incineration and open burning of waste,2012,GHG,0.048286
Incineration and open burning of waste,2013,GHG,0.045128
Incineration and open burning of waste,2014,GHG,0.041652
Incineration and open burning of waste,2015,GHG,0.042394
Incineration and open burning of waste,2016,GHG,0.025031
Incineration and open burning of waste,2017,GHG,0.027449
Incineration and open burning of waste,2018,GHG,0.023899
Incineration and open burning of waste,2019,GHG,0.032524
Incineration and open burning of waste,2020,GHG,0.031188
Incineration and open burning of waste,2021,GHG,0.034611
Incineration and open burning of waste,2022,GHG,0.036359
Incineration and open burning of waste,2023,GHG,0.035563
Incineration and open burning of waste,2024,GHG,0.035552
Industrial Processes,1990,GHG,3.162758
Industrial Processes,1991,GHG,2.873794
Industrial Processes,1992,GHG,2.785348
Industrial Processes,1993,GHG,2.750619
Industrial Processes,1994,GHG,2.988827
Industrial Processes,1995,GHG,2.902421
Industrial Processes,1996,GHG,2.984391
Industrial Processes,1997,GHG,3.313495
Industrial Processes,1998,GHG,3.203038
Industrial Processes,1999,GHG,3.153224
Industrial Processes,2000,GHG,3.700765
Industrial Processes,2001,GHG,3.757136
Industrial Processes,2002,GHG,3.269746
Industrial Processes,2003,GHG,2.494071
Industrial Processes,2004,GHG,2.66572
Industrial Processes,2005,GHG,2.759098
Industrial Processes,2006,GHG,2.701829
Industrial Processes,2007,GHG,2.759405
Industrial Processes,2008,GHG,2.469206
Industrial Processes,2009,GHG,1.65457
Industrial Processes,2010,GHG,1.461109
Industrial Processes,2011,GHG,1.330821
Industrial Processes,2012,GHG,1.557478
Industrial Processes,2013,GHG,1.473786
Industrial Processes,2014,GHG,1.818024
Industrial Processes,2015,GHG,2.005131
Industrial Processes,2016,GHG,2.147151
Industrial Processes,2017,GHG,2.235901
Industrial Processes,2018,GHG,2.29206
Industrial Processes,2019,GHG,2.264292
Industrial Processes,2020,GHG,2.107581
Industrial Processes,2021,GHG,2.472383
Industrial Processes,2022,GHG,2.294422
Industrial Processes,2023,GHG,2.155212
Industrial Processes,2024,GHG,1.879922
"Land use, land-use change and forestry",1990,GHG,5.098952
"Land use, land-use change and forestry",1991,GHG,5.018945
"Land use, land-use change and forestry",1992,GHG,4.815397
"Land use, land-use change and forestry",1993,GHG,5.085656
"Land use, land-use change and forestry",1994,GHG,5.228577
"Land use, land-use change and forestry",1995,GHG,6.228695
"Land use, land-use change and forestry",1996,GHG,5.968375
"Land use, land-use change and forestry",1997,GHG,5.250016
"Land use, land-use change and forestry",1998,GHG,5.236063
"Land use, land-use change and forestry",1999,GHG,5.27701
"Land use, land-use change and forestry",2000,GHG,5.913288
"Land use, land-use change and forestry",2001,GHG,7.235101
"Land use, land-use change and forestry",2002,GHG,6.811827
"Land use, land-use change and forestry",2003,GHG,7.403905
"Land use, land-use change and forestry",2004,GHG,6.08783
"Land use, land-use change and forestry",2005,GHG,6.237677
"Land use, land-use change and forestry",2006,GHG,6.177598
"Land use, land-use change and forestry",2007,GHG,5.18414
"Land use, land-use change and forestry",2008,GHG,4.47019
"Land use, land-use change and forestry",2009,GHG,4.048234
"Land use, land-use change and forestry",2010,GHG,5.123377
"Land use, land-use change and forestry",2011,GHG,4.200158
"Land use, land-use change and forestry",2012,GHG,3.260112
